PspGMS138_2_RAD3_2,PspGMS138,PspGMS138_2_RAD3_2,West,1E-05,1E-05,0.99997,1E-05
PspGMS138_3_RAD3_2,PspGMS138,PspGMS138_3_RAD3_2,West,1E-05,1E-05,0.99997,1E-05
PspGMS138_4_RAD3_2,PspGMS138,PspGMS138_4_RAD3_2,West,1E-05,1E-05,0.99997,1E-05
PspCP969_2_RAD2,PspCP969,PspCP969_2_RAD2,Balk,1E-05,0.065706,1E-05,0.934274
PspCP969_3_RAD8,PspCP969,PspCP969_3_RAD8,Balk,1E-05,1E-05,1E-05,0.99997
PspCP969_4_RAD8,PspCP969,PspCP969_4_RAD8,Balk,1E-05,1E-05,1E-05,0.99997
PspCP969_5_RAD8,PspCP969,PspCP969_5_RAD8,Balk,1.1E-05,1E-05,1E-05,0.999969
PspD59_1_RAD6,PspD59,PspD59_1_RAD6,Balk,0.266678,0.172158,1E-05,0.561153
PspD59_2_RAD6,PspD59,PspD59_2_RAD6,Balk,0.261964,0.232972,1E-05,0.505053
PspD59_3_RAD6,PspD59,PspD59_3_RAD6,Balk,0.339313,0.187133,1E-05,0.473544
PspD59_4_RAD6,PspD59,PspD59_4_RAD6,Balk,0.239303,0.194996,1E-05,0.565691
PspGMS163_1_RAD5,PspGMS163,PspGMS163_1_RAD5,Balk,1E-05,1E-05,1E-05,0.99997
PspGMS163_3_RAD7,PspGMS163,PspGMS163_3_RAD7,Balk,1E-05,1E-05,1E-05,0.99997
PspGMS163_4_RAD7,PspGMS163,PspGMS163_4_RAD7,Balk,1E-05,1E-05,1E-05,0.99997
PspGMS163_5_RAD7,PspGMS163,PspGMS163_5_RAD7,Balk,1E-05,1E-05,1E-05,0.99997
PspGMS166_1_3_RAD3_2,PspGMS166,PspGMS166_1_3_RAD3_2,Balk,1E-05,1E-05,1E-05,0.99997
PspGMS166_1_4_RAD3_2,PspGMS166,PspGMS166_1_4_RAD3_2,Balk,1E-05,1E-05,1E-05,0.99997
PspGMS166_1_5_RAD3_2,PspGMS166,PspGMS166_1_5_RAD3_2,Balk,1E-05,1E-05,1E-05,0.99997
PspGMS166_2_2_RAD1,PspGMS166,PspGMS166_2_2_RAD1,Balk,1E-05,1E-05,1E-05,0.99997
PspGMS228_1_RAD1,PspGMS228,PspGMS228_1_RAD1,Balk,1E-05,1E-05,1E-05,0.99997
PspGMS228_2_RAD4_2,PspGMS228,PspGMS228_2_RAD4_2,Balk,0.031388,1E-05,1E-05,0.968592
PspGMS228_4_RAD4_2,PspGMS228,PspGMS228_4_RAD4_2,Balk,0.110901,1E-05,1E-05,0.889079
PspGMS228_5_RAD4_2,PspGMS228,PspGMS228_5_RAD4_2,Balk,1E-05,1E-05,1E-05,0.99997
PspGMS235_1_RAD1,PspGMS235,PspGMS235_1_RAD1,Balk,1E-05,1E-05,1E-05,0.99997
PspGMS235_2_RAD6,PspGMS235,PspGMS235_2_RAD6,Balk,1E-05,1E-05,0.070188,0.929792
PspGMS235_3_RAD9,PspGMS235,PspGMS235_3_RAD9,Balk,1E-05,1E-05,1E-05,0.99997
PspGMS235_4_RAD6,PspGMS235,PspGMS235_4_RAD6,Balk,0.112135,0.056826,1E-05,0.83103
